StudentID       | Name            | GradYear        | CName           | CGrade          | Date_grades     | Department      | Credits        
---------------------------------------------------------------------------------------------------------------------------------------------
1               | Robert Miller   | 2025            | Data Visualization | 2.8             | 2026-02-14      | Physics         | 4              
1               | Robert Miller   | 2025            | Linear Algebra  | 2.2             | 2026-03-12      | Math            | 4              
1               | Robert Miller   | 2025            | Natural Language Processing | 2.8             | 2026-04-17      | History         | 3              
2               | Mary Brown      | 2025            | Calculus I      | 2.9             | 2026-04-16      | CS              | 4              
2               | Mary Brown      | 2025            | Data Visualization | 3.1             | 2026-01-21      | Physics         | 4              
2               | Mary Brown      | 2025            | Linear Algebra  | 3.9             | 2026-05-19      | Math            | 4              
3               | Mary Miller     | 2025            | AI Agents       | 3.7             | 2026-05-10      | Physics         | 3              
3               | Mary Miller     | 2025            | Intro to Python | 2.8             | 2026-05-17      | CS              | 4              
3               | Mary Miller     | 2025            | Machine Learning | 3.4             | 2026-03-19      | CS              | 3              
4               | Linda Johnson   | 2026            | Intro to Python | 2.4             | 2026-02-13      | CS              | 4              
4               | Linda Johnson   | 2026            | Natural Language Processing | 2.8             | 2026-04-22      | History         | 3              
4               | Linda Johnson   | 2026            | Quantum Physics | 2.5             | 2026-04-13      | Physics         | 4              
5               | Robert Miller   | 2027            | Calculus I      | 3.1             | 2026-03-17      | CS              | 4              
5               | Robert Miller   | 2027            | Linear Algebra  | 3.3             | 2026-02-19      | Math            | 4              
5               | Robert Miller   | 2027            | Natural Language Processing | 2.8             | 2026-05-15      | History         | 3              
6               | Robert Davis    | 2026            | Database Systems | 4               | 2026-03-24      | Data Science    | 3              
6               | Robert Davis    | 2026            | Linear Algebra  | 2               | 2026-04-25      | Math            | 4              
7               | Patricia Johnson | 2027            | Calculus I      | 2.4             | 2026-01-25      | CS              | 4              
7               | Patricia Johnson | 2027            | Database Systems | 3.4             | 2026-05-12      | Data Science    | 3              
7               | Patricia Johnson | 2027            | World History   | 3.5             | 2026-02-24      | Physics         | 3              
8               | James Williams  | 2025            | Intro to Python | 3               | 2026-04-25      | CS              | 4              
8               | James Williams  | 2025            | Quantum Physics | 2.9             | 2026-02-14      | Physics         | 4              
9               | Mary Davis      | 2028            | Natural Language Processing | 2.6             | 2026-03-10      | History         | 3              
10              | Patricia Jones  | 2026            | Calculus I      | 2.5             | 2026-02-10      | CS              | 4              
10              | Patricia Jones  | 2026            | Linear Algebra  | 2.3             | 2026-02-12      | Math            | 4              
11              | James Smith     | 2027            | None            | None            | None            | None            | None           
12              | Mary Davis      | 2027            | Calculus I      | 2.8             | 2026-04-23      | CS              | 4              
12              | Mary Davis      | 2027            | Natural Language Processing | 3.2             | 2026-01-10      | History         | 3              
12              | Mary Davis      | 2027            | Quantum Physics | 3.2             | 2026-02-26      | Physics         | 4              
13              | Patricia Davis  | 2026            | Machine Learning | 2.9             | 2026-03-11      | CS              | 3              
14              | Jennifer Johnson | 2025            | Data Visualization | 3.9             | 2026-04-13      | Physics         | 4              
14              | Jennifer Johnson | 2025            | Machine Learning | 2.5             | 2026-04-26      | CS              | 3              
14              | Jennifer Johnson | 2025            | Natural Language Processing | 2.3             | 2026-05-18      | History         | 3              
15              | John Smith      | 2027            | Database Systems | 3.1             | 2026-02-10      | Data Science    | 3              
15              | John Smith      | 2027            | Intro to Python | 2.4             | 2026-04-20      | CS              | 4              
15              | John Smith      | 2027            | World History   | 2.8             | 2026-04-17      | Physics         | 3              
16              | Patricia Johnson | 2027            | Quantum Physics | 2.3             | 2026-02-18      | Physics         | 4              
17              | Jennifer Smith  | 2025            | Database Systems | 2.5             | 2026-01-12      | Data Science    | 3              
17              | Jennifer Smith  | 2025            | Intro to Python | 3.4             | 2026-02-27      | CS              | 4              
17              | Jennifer Smith  | 2025            | Quantum Physics | 3.2             | 2026-01-13      | Physics         | 4              
18              | James Garcia    | 2027            | Calculus I      | 3.2             | 2026-05-20      | CS              | 4              
18              | James Garcia    | 2027            | Machine Learning | 3.8             | 2026-02-11      | CS              | 3              
18              | James Garcia    | 2027            | Quantum Physics | 3.7             | 2026-01-22      | Physics         | 4              
19              | Michael Brown   | 2028            | AI Agents       | 3               | 2026-01-24      | Physics         | 3              
19              | Michael Brown   | 2028            | Data Visualization | 2.6             | 2026-02-24      | Physics         | 4              
20              | Mary Brown      | 2025            | Calculus I      | 3.5             | 2026-02-22      | CS              | 4              
20              | Mary Brown      | 2025            | Database Systems | 2.7             | 2026-03-26      | Data Science    | 3              
20              | Mary Brown      | 2025            | Natural Language Processing | 3.7             | 2026-04-24      | History         | 3              
21              | Michael Williams | 2026            | Natural Language Processing | 2.3             | 2026-01-27      | History         | 3              
21              | Michael Williams | 2026            | World History   | 3.4             | 2026-05-15      | Physics         | 3              
22              | Mary Miller     | 2027            | None            | None            | None            | None            | None           
23              | Robert Brown    | 2028            | AI Agents       | 3.8             | 2026-04-16      | Physics         | 3              
23              | Robert Brown    | 2028            | Data Visualization | 2.4             | 2026-02-23      | Physics         | 4              
23              | Robert Brown    | 2028            | Machine Learning | 2.1             | 2026-02-20      | CS              | 3              
24              | Patricia Davis  | 2025            | Calculus I      | 3.5             | 2026-04-19      | CS              | 4              
24              | Patricia Davis  | 2025            | Machine Learning | 2.4             | 2026-02-15      | CS              | 3              
25              | Mary Garcia     | 2025            | AI Agents       | 2.5             | 2026-04-19      | Physics         | 3              
25              | Mary Garcia     | 2025            | Intro to Python | 3.5             | 2026-02-19      | CS              | 4              
25              | Mary Garcia     | 2025            | Machine Learning | 3.7             | 2026-03-22      | CS              | 3              
26              | Patricia Jones  | 2026            | Database Systems | 2.1             | 2026-05-13      | Data Science    | 3              
26              | Patricia Jones  | 2026            | Intro to Python | 3.3             | 2026-04-12      | CS              | 4              
26              | Patricia Jones  | 2026            | World History   | 2.7             | 2026-04-14      | Physics         | 3              
27              | Michael Brown   | 2027            | AI Agents       | 2.2             | 2026-04-24      | Physics         | 3              
27              | Michael Brown   | 2027            | Database Systems | 3.9             | 2026-03-14      | Data Science    | 3              
27              | Michael Brown   | 2027            | Intro to Python | 3.2             | 2026-01-15      | CS              | 4              
28              | Jennifer Garcia | 2028            | Data Visualization | 2.1             | 2026-05-11      | Physics         | 4              
28              | Jennifer Garcia | 2028            | Linear Algebra  | 3.4             | 2026-04-26      | Math            | 4              
28              | Jennifer Garcia | 2028            | World History   | 3               | 2026-02-20      | Physics         | 3              
29              | Robert Davis    | 2028            | Database Systems | 2.7             | 2026-05-22      | Data Science    | 3              
29              | Robert Davis    | 2028            | Natural Language Processing | 3.7             | 2026-02-23      | History         | 3              
30              | Mary Davis      | 2025            | Data Visualization | 2.3             | 2026-01-10      | Physics         | 4              
31              | Michael Smith   | 2028            | Calculus I      | 3.3             | 2026-03-14      | CS              | 4              
31              | Michael Smith   | 2028            | Natural Language Processing | 3.3             | 2026-05-12      | History         | 3              
31              | Michael Smith   | 2028            | World History   | 2.2             | 2026-05-24      | Physics         | 3              
32              | Jennifer Williams | 2026            | Calculus I      | 2.7             | 2026-02-17      | CS              | 4              
33              | Robert Davis    | 2028            | Calculus I      | 3.8             | 2026-01-26      | CS              | 4              
33              | Robert Davis    | 2028            | Data Visualization | 3.5             | 2026-04-12      | Physics         | 4              
33              | Robert Davis    | 2028            | Natural Language Processing | 2.9             | 2026-05-23      | History         | 3              
34              | Patricia Davis  | 2028            | AI Agents       | 2.4             | 2026-01-21      | Physics         | 3              
34              | Patricia Davis  | 2028            | Intro to Python | 2.4             | 2026-04-22      | CS              | 4              
35              | Jennifer Brown  | 2028            | Linear Algebra  | 3.4             | 2026-02-26      | Math            | 4              
35              | Jennifer Brown  | 2028            | Machine Learning | 2               | 2026-03-15      | CS              | 3              
36              | Patricia Brown  | 2028            | Calculus I      | 3.6             | 2026-05-19      | CS              | 4              
36              | Patricia Brown  | 2028            | Intro to Python | 2.6             | 2026-03-19      | CS              | 4              
36              | Patricia Brown  | 2028            | Natural Language Processing | 3.1             | 2026-03-15      | History         | 3              
37              | Jennifer Jones  | 2026            | Calculus I      | 3.1             | 2026-02-22      | CS              | 4              
38              | Mary Smith      | 2026            | Linear Algebra  | 3.1             | 2026-01-18      | Math            | 4              
39              | Michael Davis   | 2026            | Data Visualization | 3.3             | 2026-05-12      | Physics         | 4              
39              | Michael Davis   | 2026            | Natural Language Processing | 2.9             | 2026-04-28      | History         | 3              
40              | Linda Davis     | 2025            | Database Systems | 2.6             | 2026-05-11      | Data Science    | 3              
40              | Linda Davis     | 2025            | Machine Learning | 3.5             | 2026-04-20      | CS              | 3              
40              | Linda Davis     | 2025            | Natural Language Processing | 3               | 2026-04-17      | History         | 3              
41              | Jennifer Davis  | 2028            | AI Agents       | 2.2             | 2026-02-11      | Physics         | 3              
41              | Jennifer Davis  | 2028            | Machine Learning | 3.6             | 2026-02-22      | CS              | 3              
42              | James Johnson   | 2025            | AI Agents       | 3.5             | 2026-04-28      | Physics         | 3              
42              | James Johnson   | 2025            | Linear Algebra  | 3.8             | 2026-01-16      | Math            | 4              
42              | James Johnson   | 2025            | World History   | 2.7             | 2026-04-28      | Physics         | 3              
43              | Jennifer Davis  | 2027            | Linear Algebra  | 2.7             | 2026-02-27      | Math            | 4              
43              | Jennifer Davis  | 2027            | Quantum Physics | 2.4             | 2026-04-17      | Physics         | 4              
44              | James Garcia    | 2026            | Database Systems | 3.5             | 2026-01-20      | Data Science    | 3              
44              | James Garcia    | 2026            | Machine Learning | 3.7             | 2026-01-12      | CS              | 3              
44              | James Garcia    | 2026            | World History   | 2.8             | 2026-04-18      | Physics         | 3              
45              | John Williams   | 2027            | Calculus I      | 3.3             | 2026-02-28      | CS              | 4              
45              | John Williams   | 2027            | Machine Learning | 3.1             | 2026-05-20      | CS              | 3              
46              | John Garcia     | 2027            | Linear Algebra  | 2.7             | 2026-05-20      | Math            | 4              
46              | John Garcia     | 2027            | Machine Learning | 2.9             | 2026-04-21      | CS              | 3              
46              | John Garcia     | 2027            | World History   | 3.5             | 2026-03-15      | Physics         | 3              
47              | James Smith     | 2025            | AI Agents       | 2.6             | 2026-05-14      | Physics         | 3              
47              | James Smith     | 2025            | Data Visualization | 3.4             | 2026-01-18      | Physics         | 4              
47              | James Smith     | 2025            | Database Systems | 2.4             | 2026-03-21      | Data Science    | 3              
48              | Michael Jones   | 2028            | Linear Algebra  | 2.6             | 2026-02-23      | Math            | 4              
48              | Michael Jones   | 2028            | Natural Language Processing | 3.2             | 2026-04-28      | History         | 3              
48              | Michael Jones   | 2028            | Quantum Physics | 3.4             | 2026-05-18      | Physics         | 4              
49              | Mary Williams   | 2025            | Data Visualization | 3.8             | 2026-03-24      | Physics         | 4              
49              | Mary Williams   | 2025            | Intro to Python | 3.7             | 2026-04-26      | CS              | 4              
49              | Mary Williams   | 2025            | Natural Language Processing | 3.1             | 2026-01-28      | History         | 3              
50              | Michael Jones   | 2027            | Calculus I      | 2.2             | 2026-05-19      | CS              | 4              
50              | Michael Jones   | 2027            | Intro to Python | 3.7             | 2026-02-10      | CS              | 4              
51              | John Miller     | 2026            | AI Agents       | 3.4             | 2026-03-14      | Physics         | 3              
51              | John Miller     | 2026            | Calculus I      | 3.9             | 2026-05-15      | CS              | 4              
51              | John Miller     | 2026            | Intro to Python | 2.8             | 2026-05-11      | CS              | 4              
52              | Michael Johnson | 2026            | AI Agents       | 2               | 2026-02-26      | Physics         | 3              
52              | Michael Johnson | 2026            | Linear Algebra  | 2.5             | 2026-03-12      | Math            | 4              
52              | Michael Johnson | 2026            | World History   | 2.2             | 2026-04-25      | Physics         | 3              
53              | Jennifer Miller | 2028            | Data Visualization | 2.7             | 2026-03-18      | Physics         | 4              
53              | Jennifer Miller | 2028            | Intro to Python | 3.8             | 2026-05-28      | CS              | 4              
53              | Jennifer Miller | 2028            | Machine Learning | 3.7             | 2026-03-22      | CS              | 3              
54              | Michael Davis   | 2028            | Calculus I      | 2.3             | 2026-03-12      | CS              | 4              
54              | Michael Davis   | 2028            | Data Visualization | 2.5             | 2026-05-19      | Physics         | 4              
54              | Michael Davis   | 2028            | Quantum Physics | 3.9             | 2026-05-18      | Physics         | 4              
55              | James Johnson   | 2025            | AI Agents       | 2.2             | 2026-04-19      | Physics         | 3              
55              | James Johnson   | 2025            | Machine Learning | 3.9             | 2026-05-11      | CS              | 3              
55              | James Johnson   | 2025            | Quantum Physics | 2.6             | 2026-05-20      | Physics         | 4              
56              | Mary Garcia     | 2026            | Linear Algebra  | 3.4             | 2026-02-20      | Math            | 4              
56              | Mary Garcia     | 2026            | Natural Language Processing | 2.6             | 2026-03-27      | History         | 3              
56              | Mary Garcia     | 2026            | World History   | 3.4             | 2026-01-10      | Physics         | 3              
57              | Mary Johnson    | 2026            | Database Systems | 3.9             | 2026-04-11      | Data Science    | 3              
57              | Mary Johnson    | 2026            | Natural Language Processing | 2.7             | 2026-04-11      | History         | 3              
57              | Mary Johnson    | 2026            | World History   | 3.3             | 2026-03-19      | Physics         | 3              
58              | Linda Johnson   | 2027            | AI Agents       | 2.8             | 2026-05-13      | Physics         | 3              
58              | Linda Johnson   | 2027            | Natural Language Processing | 3.3             | 2026-05-19      | History         | 3              
58              | Linda Johnson   | 2027            | Quantum Physics | 2.1             | 2026-01-19      | Physics         | 4              
59              | Patricia Davis  | 2026            | Linear Algebra  | 2.5             | 2026-03-10      | Math            | 4              
59              | Patricia Davis  | 2026            | Quantum Physics | 3.7             | 2026-03-18      | Physics         | 4              
59              | Patricia Davis  | 2026            | World History   | 3.7             | 2026-04-24      | Physics         | 3              
60              | Mary Miller     | 2027            | Calculus I      | 3.3             | 2026-01-18      | CS              | 4              
60              | Mary Miller     | 2027            | Database Systems | 3.2             | 2026-05-20      | Data Science    | 3              
60              | Mary Miller     | 2027            | Quantum Physics | 4               | 2026-01-25      | Physics         | 4              
61              | James Miller    | 2028            | Database Systems | 3.3             | 2026-01-21      | Data Science    | 3              
61              | James Miller    | 2028            | Linear Algebra  | 2.2             | 2026-03-25      | Math            | 4              
61              | James Miller    | 2028            | World History   | 2.2             | 2026-02-18      | Physics         | 3              
62              | Linda Smith     | 2027            | AI Agents       | 3.7             | 2026-03-17      | Physics         | 3              
62              | Linda Smith     | 2027            | Database Systems | 3.7             | 2026-02-21      | Data Science    | 3              
62              | Linda Smith     | 2027            | World History   | 2.3             | 2026-01-28      | Physics         | 3              
63              | Michael Garcia  | 2026            | None            | None            | None            | None            | None           
64              | Robert Williams | 2025            | Data Visualization | 2.7             | 2026-01-14      | Physics         | 4              
64              | Robert Williams | 2025            | World History   | 2.2             | 2026-02-11      | Physics         | 3              
65              | Linda Davis     | 2028            | Intro to Python | 2.1             | 2026-03-11      | CS              | 4              
65              | Linda Davis     | 2028            | Machine Learning | 3.2             | 2026-05-25      | CS              | 3              
65              | Linda Davis     | 2028            | Quantum Physics | 4               | 2026-04-23      | Physics         | 4              
66              | Jennifer Brown  | 2028            | AI Agents       | 3.5             | 2026-01-19      | Physics         | 3              
66              | Jennifer Brown  | 2028            | Calculus I      | 2.2             | 2026-02-15      | CS              | 4              
66              | Jennifer Brown  | 2028            | Natural Language Processing | 2.7             | 2026-03-28      | History         | 3              
67              | John Smith      | 2027            | Database Systems | 2.8             | 2026-01-27      | Data Science    | 3              
67              | John Smith      | 2027            | Natural Language Processing | 2.6             | 2026-05-20      | History         | 3              
67              | John Smith      | 2027            | World History   | 3.7             | 2026-01-13      | Physics         | 3              
68              | Michael Garcia  | 2028            | Intro to Python | 2.5             | 2026-05-10      | CS              | 4              
68              | Michael Garcia  | 2028            | Machine Learning | 3.5             | 2026-05-10      | CS              | 3              
69              | Robert Jones    | 2025            | AI Agents       | 2.4             | 2026-04-23      | Physics         | 3              
69              | Robert Jones    | 2025            | Machine Learning | 3.1             | 2026-01-23      | CS              | 3              
70              | Jennifer Williams | 2025            | Calculus I      | 3.5             | 2026-04-28      | CS              | 4              
70              | Jennifer Williams | 2025            | Linear Algebra  | 3.7             | 2026-02-22      | Math            | 4              
